lr,gamma,batch_size,avg_reward_mean,avg_reward_std,reward_slope,reward_std
0.001,0.95,20,37.28643450652798,32.42772229320189,0.013270925978184777,20.531496887245094
0.001,0.95,30,36.09753438876218,25.70777484505234,0.003413268801549156,21.953797549282797
0.001,0.99,30,24.909397165900852,13.600651944839585,-0.006186674503588013,17.425962843050403
0.001,0.99,20,24.40617625594582,12.909589568759879,0.0019314098131745518,13.518266755197953
0.0001,0.95,20,21.627551779166822,12.35467426571064,0.0005769878998573943,13.484486201046451
0.0001,0.95,30,21.136152105982703,11.944342869857143,0.01532698939065133,12.91739962492061
0.0001,0.99,30,20.69513618434377,12.393685677221372,0.002310118996014501,11.332927617290292
0.0001,0.99,20,20.28192928536037,11.44050577176269,-0.0024025051601518177,11.26653287395504
